OUTPUT:
gen	nevals	avg   	min    
263	225   	0       	0      
264	234   	0       	0      
265	224   	0       	0      
266	243   	0       	0      
267	227   	0       	0      
268	224   	0       	0      
269	215   	0       	0      
270	232   	0       	0      
271	214   	0       	0      
272	247   	0       	0      
273	236   	0       	0      
274	231   	0       	0      
275	220   	0       	0      
276	220   	0       	0      
277	225   	0       	0      
278	225   	0       	0      
279	230   	0       	0      
280	220   	0       	0      
281	234   	0       	0      
282	221   	0       	0      
283	230   	0       	0      
284	229   	0       	0      
285	216   	0       	0      
286	212   	0       	0      
287	244   	0       	0      
288	208   	0       	0      
289	231   	0       	0      
290	239   	0       	0      
291	214   	0       	0      
292	219   	0       	0      
293	229   	0       	0      
294	215   	0       	0      
295	245   	0       	0      
296	223   	0       	0      
297	245   	0       	0      
298	224   	0       	0      
299	219   	0       	0      
300	218   	0       	0      
301	241   	0       	0      
302	206   	0       	0      
303	215   	0       	0      
304	228   	0       	0      
305	216   	0       	0      
306	231   	0       	0      
307	239   	0       	0      
308	233   	0       	0      
309	224   	0       	0      
310	219   	0       	0      
311	222   	0       	0      
312	226   	0       	0      
313	227   	0       	0      
314	237   	0       	0      
315	218   	0       	0      
316	240   	0       	0      
317	230   	0       	0      
318	241   	0       	0      
319	231   	0       	0      
320	235   	0       	0      
321	226   	0       	0      
322	229   	0       	0      
323	226   	0       	0      
324	250   	0       	0      
325	238   	0       	0      
326	231   	0       	0      
327	214   	0       	0      
328	206   	0       	0      
329	233   	0       	0      
330	217   	0       	0      
331	241   	0       	0      
332	231   	0       	0      
333	221   	0       	0      
334	232   	0       	0      
335	221   	0       	0      
336	229   	0       	0      
337	225   	0       	0      
338	239   	0       	0      
339	231   	0       	0      
340	229   	0       	0      
341	231   	0       	0      
342	223   	0       	0      
343	224   	0       	0      
344	233   	0       	0      
345	234   	0       	0      
346	248   	0       	0      
347	225   	0       	0      
348	233   	0       	0      
349	233   	0       	0      
350	214   	0       	0      
351	234   	0       	0      
352	232   	0       	0      
353	225   	0       	0      
354	220   	0       	0      
355	219   	0       	0      
356	232   	0       	0      
357	228   	0       	0      
358	242   	0       	0      
359	213   	0       	0      
360	220   	0       	0      
361	228   	0       	0      
362	217   	0       	0      
363	229   	0       	0      
364	222   	0       	0      
365	219   	0       	0      
366	231   	0       	0      
367	236   	0       	0      
368	224   	0       	0      
369	238   	0       	0      
370	219   	0       	0      
371	236   	0       	0      
372	224   	0       	0      
373	235   	0       	0      
374	239   	0       	0      
375	237   	0       	0      
376	222   	0       	0      
377	235   	0       	0      
378	226   	0       	0      
379	224   	0       	0      
380	214   	0       	0      
381	228   	0       	0      
382	213   	0       	0      
383	237   	0       	0      
384	229   	0       	0      
385	225   	0       	0      
386	216   	0       	0      
387	230   	0       	0      
388	244   	0       	0      
389	235   	0       	0      
390	231   	0       	0      
391	220   	0       	0      
392	225   	0       	0      
393	231   	0       	0      
394	232   	0       	0      
395	221   	0       	0      
396	230   	0       	0      
397	232   	0       	0      
398	237   	0       	0      
399	230   	0       	0      
400	225   	0       	0      
401	219   	0       	0      
402	219   	0       	0      
403	226   	0       	0      
404	228   	0       	0      
405	231   	0       	0      
406	232   	0       	0      
407	230   	0       	0      
408	240   	0       	0      
409	223   	0       	0      
410	229   	0       	0      
411	235   	0       	0      
412	233   	0       	0      
413	228   	0       	0      
414	214   	0       	0      
415	223   	0       	0      
416	219   	0       	0      
417	224   	0       	0      
418	226   	0       	0      
419	224   	0       	0      
420	211   	0       	0      
421	233   	0       	0      
422	212   	0       	0      
423	217   	0       	0      
424	220   	0       	0      
425	223   	0       	0      
426	231   	0       	0      
427	241   	0       	0      
428	220   	0       	0      
429	231   	0       	0      
430	240   	0       	0      
431	214   	0       	0      
432	236   	0       	0      
433	229   	0       	0      
434	219   	0       	0      
435	211   	0       	0      
436	219   	0       	0      
437	236   	0       	0      
438	239   	0       	0      
439	233   	0       	0      
440	225   	0       	0      
441	231   	0       	0      
442	230   	0       	0      
443	200   	0       	0      
444	236   	0       	0      
445	218   	0       	0      
446	221   	0       	0      
447	232   	0       	0      
448	230   	0       	0      
449	233   	0       	0      
450	235   	0       	0      
451	239   	0       	0      
452	226   	0       	0      
453	241   	0       	0      
454	235   	0       	0      
455	208   	0       	0      
456	225   	0       	0      
457	234   	0       	0      
458	238   	0       	0      
459	232   	0       	0      
460	213   	0       	0      
461	244   	0       	0      
462	239   	0       	0      
463	225   	0       	0      
464	229   	0       	0      
465	233   	0       	0      
466	235   	0       	0      
467	230   	0       	0      
468	236   	0       	0      
469	221   	0       	0      
470	238   	0       	0      
471	235   	0       	0      
472	222   	0       	0      
473	236   	0       	0      
474	216   	0       	0      
475	219   	0       	0      
476	216   	0       	0      
477	233   	0       	0      
478	226   	0       	0      
479	238   	0       	0      
480	213   	0       	0      
481	227   	0       	0      
482	229   	0       	0      
483	219   	0       	0      
484	221   	0       	0      
485	241   	0       	0      
486	223   	0       	0      
487	218   	0       	0      
488	222   	0       	0      
489	220   	0       	0      
490	238   	0       	0      
491	228   	0       	0      
492	220   	0       	0      
493	218   	0       	0      
494	239   	0       	0      
495	238   	0       	0      
496	234   	0       	0      
497	217   	0       	0      
498	233   	0       	0      
499	227   	0       	0      
500	237   	0       	0      


ERROR:
Traceback (most recent call last):
  File "/home/ethan/repository/few-shot/LLM_Routing/llm/extra_info_pseudo-code_v3/solution/multiple/mTSPMD/10/P-n23-k8/3/1/solution_r1.py", line 97, in <module>
    main()
  File "/home/ethan/repository/few-shot/LLM_Routing/llm/extra_info_pseudo-code_v3/solution/multiple/mTSPMD/10/P-n23-k8/3/1/solution_r1.py", line 88, in main
    tour.append(tour[0])  # ensure returning to the starting depot
                ~~~~^^^
IndexError: list index out of range


